S.No.,Player_name,Team,Matches,Innings,Not_out,Total_runs_scored,Highest_score,Batting_avg,Total_balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,Nineties,Best_Bowling,Wkts_taken,5_wkts,4_wkts,Catch_taken,Stamp_by_wk,Balls_bowled,Bowling_avg,Economy,Runs_given,Category
24,Ajinkya Rahane,KKR,13,12,1,390,61,35.45,264,147.73,0,3,NA,36,20,0,0,0,0,0,5,0,0,NA,NA,0,Batsman
25,Prasidh Krishna,GT,15,15,0,0,0,NA,0,NA,0,0,0,0,0,0,4 for 41,25,0,1,5,0,354,19.52,8.27,488,Bowler
26,Noor Ahmad,CSK,14,14,2,7,2,1.75,17,41.18,0,0,NA,0,0,0,4 for 18,24,0,1,2,0,300,17,8.16,408,Bowler
27,Josh Hazlewood,RCB,12,12,1,0,0,NA,1,NA,0,0,0,0,0,0,4 for 33,22,0,1,1,0,264,17.55,8.77,386,Bowler
28,Trent Boult,MI,16,16,1,2,1,2,3,66.67,0,0,0,0,0,0,4 for 26,22,0,1,1,0,346,23.5,8.97,517,Bowler
29,Arshdeep Singh,PBKS,17,16,1,2,1,2,6,33.33,0,0,NA,0,0,0,3 for 16,21,0,0,4,0,350,24.67,8.88,518,Bowler
30,Sai Kishore,GT,15,15,0,5,3,1.67,10,50,0,0,NA,0,0,0,3 for 30,19,0,0,5,0,255,20.68,9.25,393,Bowler
31,Jasprit Bumrah,MI,12,12,1,0,0,NA,1,NA,0,0,0,0,0,0,4 for 22,18,0,1,2,0,284,17.56,6.68,316,Bowler
32,Vaibhav Arora,KKR,12,12,0,0,0,NA,8,NA,0,0,NA,0,0,0,3 for 29,17,0,0,4,0,255,25.29,10.12,430,Bowler
33,Varun Chakaravarthy,KKR,13,13,1,1,1,NA,1,100,0,0,NA,0,0,0,3 for 22,17,0,0,2,0,300,22.53,7.66,383,Bowler
34,Krunal Pandya,RCB,15,15,1,109,73,18.17,86,126.74,0,1,NA,9,4,0,4 for 45,17,0,1,6,0,276,22.29,8.24,379,AR
35,Bhuvneshwar Kumar,RCB,14,14,3,14,8,4.67,25,56,0,0,NA,1,0,0,3 for 33,17,0,0,5,0,312,28.41,9.29,483,Bowler
36,Pat Cummins,SRH,14,14,5,97,22,24.25,58,167.24,0,0,NA,6,7,0,3 for 19,16,0,0,5,0,298,28.13,9.06,450,Bowler
37,Marco Jansen,PBKS,14,14,4,75,34,18.75,63,119.05,0,0,NA,3,4,0,3 for 17,16,0,0,8,0,283,27.13,9.2,434,AR
38,Mohammed Siraj,GT,15,15,1,3,3,3,4,75,0,0,NA,0,0,0,4 for 17,16,0,1,5,0,342,32.94,9.25,527,Bowler
39,Yuzvendra Chahal,PBKS,14,13,0,0,0,NA,0,NA,0,0,NA,0,0,0,4 for 28,16,0,2,2,0,270,26.88,9.56,430,Bowler
40,Mitchell Starc,DC,11,11,4,6,2,3,10,60,0,0,NA,0,0,0,5 for 35,14,1,0,7,0,216,26.14,10.17,366,Bowler
41,Hardik Pandya,MI,15,12,3,224,48,24.89,137,163.5,0,0,NA,18,12,0,5 for 36,14,1,0,3,0,210,24.43,9.77,342,AR
42,Ashwani Kumar,MI,7,7,0,0,0,NA,0,NA,0,0,0,0,0,0,4 for 24,11,0,1,2,0,123,21.09,11.32,232,Bowler
43,Harshal Patel,SRH,13,13,2,21,12,10.5,26,80.77,0,0,NA,0,0,0,4 for 28,16,0,2,3,0,263,26.88,9.81,430,Bowler
44,Mukesh Kumar,DC,12,12,0,0,0,NA,0,NA,0,0,NA,0,0,0,4 for 33,12,0,1,3,0,237,34,10.33,408,Bowler
45,Shardul Thakur,LSG,10,10,2,18,6,6,12,150,0,0,NA,3,0,0,4 for 34,13,0,1,4,0,204,28.85,11.03,375,Bowler
46,Wanindu Hasaranga,RR,11,11,0,9,4,1.8,15,60,0,0,NA,0,0,,4 for 35,11,0,1,2,0,246,33.73,9.05,371,Bowler
47,Kagiso Rabada,GT,4,4,1,9,7,9,8,112.5,0,0,NA,0,1,0, 1 for 41,2,0,0,0,0,84,81,11.57,162,Bowler
48,Washington Sundar,GT,6,6,0,133,49,26.6,80,166.25,0,0,NA,10,7,,1 for 28,2,0,0,3,0,65,55.5,10.25,111,AR
49,Gerald Coetzee,GT,4,4,0,17,12,8.5,11,154.55,0,0,NA,2,1,,1 for 10,2,0,0,2,0,72,65.5,10.92,131,Bowler
50,Mohammed Arshad Khan,GT,9,9,3,23,20,11.5,19,121.05,0,0,NA,0,3,0,1 for 7,6,0,0,4,0,126,36.17,10.33,217,Bowler
51,Sherfane Rutherford,GT,13,13,2,291,46,32.33,185,157.3,0,0,NA,22,18,0,0,0,0,0,1,0,0,NA,NA,0,Batsman
